City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
226,kununurra,-15.7667,128.7333,27.99,65,75,1.54,AU,1697045277
227,san jose del cabo,23.0589,-109.6977,32.0,69,0,2.06,MX,1697045278
228,tura,25.5198,90.2201,22.25,88,0,1.42,IN,1697045278
229,zaxo,37.1482,42.7001,23.49,52,97,1.41,IQ,1697045278
230,alice springs,-23.7,133.8833,14.75,26,3,2.06,AU,1697045278
231,happy valley-goose bay,53.3168,-60.3315,12.17,87,100,1.54,CA,1697045278
232,bubaque,11.2833,-15.8333,28.24,76,100,2.24,GW,1697045279
233,inari,68.906,27.0288,-1.89,93,100,6.14,FI,1697045279
234,maun,-19.9833,23.4167,34.98,18,0,1.54,BW,1697045279
235,sarangani,5.4033,125.4636,28.03,76,100,4.59,PH,1697045279
236,aiquile,-18.2041,-65.1807,31.38,20,99,6.69,BO,1697045279
237,port elizabeth,-33.918,25.5701,18.16,85,0,3.6,ZA,1697045265
238,conde,-7.2597,-34.9075,28.7,58,75,8.23,BR,1697045176
239,hakkari,37.5833,44.1667,11.88,76,75,2.57,TR,1697045280
240,zeya,53.75,127.2667,6.94,77,72,1.3,RU,1697045280
241,xam nua,20.4197,104.0439,16.51,99,50,0.76,LA,1697045280
242,argo,37.6333,22.7333,21.55,64,46,2.29,GR,1697045280
243,chifeng,42.2683,118.9636,13.16,50,71,1.82,CN,1697045229
244,vila velha,-20.3297,-40.2925,23.97,93,75,2.57,BR,1697045102
245,pader palwo,2.8006,33.135,19.54,93,97,1.76,UG,1697045238
246,sandnessjoen,66.0217,12.6316,6.06,81,75,5.14,NO,1697045278
247,makurazaki,31.2667,130.3167,19.29,68,6,2.93,JP,1697045281
248,znomenka,48.7128,32.6647,6.98,47,51,4.17,UA,1697045282
249,bugiri,0.5714,33.7417,19.38,93,100,2.7,UG,1697045282
250,san rafael del yuma,18.4299,-68.6739,33.11,57,17,4.63,DO,1697045282
251,limanowa,49.7059,20.422,17.3,88,96,2.77,PL,1697045282
252,xiva,41.3783,60.3639,11.99,49,100,7.68,UZ,1697045093
253,faya-largeau,17.9257,19.1043,33.79,17,11,5.58,TD,1697045282
254,greymouth,-42.4667,171.2,9.28,93,100,1.83,NZ,1697045283
255,hasaki,35.7333,140.8333,15.22,53,12,5.11,JP,1697045283
256,pullman,46.7313,-117.1796,12.14,73,100,5.66,US,1697045283
257,port macquarie,-31.4333,152.9167,13.27,93,19,3.89,AU,1697045057
258,olavarria,-36.8927,-60.3225,14.6,27,11,7.31,AR,1697045283
259,berriane,32.8265,3.7669,26.45,29,0,4.98,DZ,1697045283
260,ponta delgada,37.7333,-25.6667,20.1,88,75,5.66,PT,1697045284
261,vasudevanallur,9.2333,77.4167,26.65,80,100,3.17,IN,1697045284
262,visby,57.6409,18.296,14.12,67,40,11.83,SE,1697045284
263,lucapa,-8.4192,20.7447,25.22,58,99,0.96,AO,1697045284
264,kimbe,-5.5502,150.1429,24.87,92,100,0.9,PG,1697045284
265,cartagena,10.3997,-75.5144,31.79,66,40,3.6,CO,1697045285
266,kourou,5.1552,-52.6478,33.03,54,1,5.2,GF,1697045285
